, income_annum, loan_amount, loan_term, cibil_score,approved
0,9600000,29900000,12,778,1
1,4100000,12200000,8,417,0
2,9100000,29700000,20,506,0
3,8200000,30700000,8,467,0
4,9800000,24200000,20,382,0
5,4800000,13500000,10,319,0
6,8700000,33000000,4,678,1
7,5700000,15000000,20,382,0
8,800000,2200000,20,782,1
9,1100000,4300000,10,388,0
10,2900000,11200000,2,547,1
11,6700000,22700000,18,538,0
12,5000000,11600000,16,311,0
13,9100000,31500000,14,679,1
14,1900000,7400000,6,469,0
15,4700000,10700000,10,794,1
16,500000,1600000,4,663,1
17,2900000,9400000,14,780,1
18,2700000,10300000,10,736,1
19,6300000,14600000,12,652,1
20,5000000,19400000,12,315,0
21,5800000,14000000,16,530,0
22,6500000,25700000,18,311,0
23,500000,1400000,2,551,1
24,4900000,9800000,16,324,0
25,3100000,9500000,20,514,0
26,8200000,28100000,12,696,1
27,2400000,5600000,4,662,1
28,7000000,24000000,6,336,0
29,9000000,31500000,10,850,1
30,9800000,25300000,12,313,0
31,5700000,12000000,6,363,0
32,800000,1600000,10,436,0
33,8400000,22000000,2,830,1
34,4900000,11900000,8,612,1
35,1700000,3400000,8,691,1
36,1600000,6200000,18,636,1
37,8000000,27200000,6,348,0
38,3600000,7700000,16,830,1
39,1500000,5100000,6,352,0
40,7800000,18100000,2,712,1
41,9100000,24900000,16,822,1
42,1400000,3400000,6,540,0
43,800000,2300000,12,342,0
44,6500000,13400000,18,787,1
45,8000000,27800000,16,331,0
46,4200000,14600000,6,679,1
47,4900000,19100000,14,677,1
48,5500000,20500000,12,634,1
49,9500000,19100000,16,662,1
50,7300000,25400000,16,502,0
51,8700000,24700000,10,435,0
52,3800000,7600000,4,689,1
53,8400000,23000000,12,657,1
54,5100000,19700000,20,590,1
55,6700000,24500000,12,818,1
56,4300000,10600000,18,431,0
57,9300000,30500000,18,841,1
58,7400000,18400000,20,421,0
59,5500000,18200000,16,797,1
60,8500000,18900000,18,478,0
61,9600000,30500000,18,669,1
62,8800000,28900000,6,365,0
63,3300000,7500000,20,586,1
64,3900000,12300000,18,784,1
65,4100000,10300000,12,364,0
66,8300000,29100000,10,715,1
67,2700000,10100000,20,693,0
68,5600000,12400000,4,777,1
69,1900000,5000000,12,312,0
70,500000,1500000,20,340,0
71,5300000,18600000,4,386,1
72,7000000,18300000,4,418,0
73,5800000,16700000,16,735,1
74,2600000,8400000,6,494,0
75,1900000,6500000,18,671,1
76,5700000,14800000,16,697,1
77,9000000,33500000,8,801,1
78,8500000,29400000,12,576,1
79,700000,1400000,14,639,1
80,3500000,8900000,4,470,0
81,8800000,31200000,4,826,1
82,9900000,21200000,16,363,0
83,3600000,8600000,20,613,1
84,3000000,8200000,16,713,1
85,6800000,21200000,16,439,0
86,1100000,3800000,18,387,0
87,8700000,28300000,8,402,0
88,2000000,8000000,6,837,1
89,9800000,37600000,10,641,1
90,5700000,21100000,18,489,0
91,8800000,20700000,18,540,0
92,3800000,8900000,4,844,1
93,1700000,6400000,10,452,0
94,1000000,2000000,10,366,0
95,300000,1100000,2,300,1
96,6600000,15000000,18,470,0
97,8700000,25000000,20,861,1
98,9400000,29400000,12,562,1
99,4400000,10800000,14,463,0
100,400000,900000,12,478,0
101,300000,1100000,2,702,1
102,4300000,12900000,20,618,1
103,1600000,4500000,12,633,1
104,6200000,23600000,10,331,0
105,4200000,9700000,16,841,1
106,9000000,18100000,12,764,1
107,2700000,10600000,6,591,1
108,9700000,35900000,2,719,1
109,3300000,6800000,14,317,0
110,300000,1100000,8,778,1
111,7400000,18200000,14,302,0
112,7100000,19700000,8,502,0
113,7300000,22100000,18,879,1
114,8400000,23400000,14,437,0
115,3300000,10800000,12,797,1
116,5800000,23200000,18,456,0
117,600000,1600000,6,647,1
